sample_id,season,event,driver,stint,lap,horizon,current_D,generated_target,raw_dataset_target,difference,status
2024_030,2024,Spanish Grand Prix,HAM,3,58,+3,1.1094,1.4179,1.4179,0.0,PASS
2024_030,2024,Spanish Grand Prix,HAM,3,58,+5,1.1094,1.9684,1.9684,0.0,PASS
2024_030,2024,Spanish Grand Prix,HAM,3,58,+10,1.1094,NaN,NaN,0.0,PASS
2024_031,2024,Monaco Grand Prix,STR,2,22,+1,0.0514,0.0514,0.0514,0.0,PASS
2024_031,2024,Monaco Grand Prix,STR,2,22,+3,0.0514,0.0514,0.0514,0.0,PASS
2024_031,2024,Monaco Grand Prix,STR,2,22,+5,0.0514,0.0514,0.0514,0.0,PASS
2024_031,2024,Monaco Grand Prix,STR,2,22,+10,0.0514,0.0514,0.0514,0.0,PASS
2024_032,2024,Hungarian Grand Prix,HUL,3,67,+1,6.4849,6.4849,6.4849,0.0,PASS
2024_032,2024,Hungarian Grand Prix,HUL,3,67,+3,6.4849,NaN,NaN,0.0,PASS
2024_032,2024,Hungarian Grand Prix,HUL,3,67,+5,6.4849,NaN,NaN,0.0,PASS
2024_032,2024,Hungarian Grand Prix,HUL,3,67,+10,6.4849,NaN,NaN,0.0,PASS
2024_033,2024,Hungarian Grand Prix,NOR,1,10,+1,0.808,0.808,0.808,0.0,PASS
2024_033,2024,Hungarian Grand Prix,NOR,1,10,+3,0.808,0.808,0.808,0.0,PASS
2024_033,2024,Hungarian Grand Prix,NOR,1,10,+5,0.808,0.8815,0.8815,0.0,PASS
2024_033,2024,Hungarian Grand Prix,NOR,1,10,+10,0.808,NaN,NaN,0.0,PASS
2024_034,2024,British Grand Prix,BOT,1,2,+1,0.0,0.0,0.0,0.0,PASS
2024_034,2024,British Grand Prix,BOT,1,2,+3,0.0,0.0,0.0,0.0,PASS
2024_034,2024,British Grand Prix,BOT,1,2,+5,0.0,0.0,0.0,0.0,PASS
2024_034,2024,British Grand Prix,BOT,1,2,+10,0.0,0.0,0.0,0.0,PASS
2024_035,2024,Dutch Grand Prix,VER,2,46,+1,0.9011,1.0325,1.0325,0.0,PASS
2024_035,2024,Dutch Grand Prix,VER,2,46,+3,0.9011,1.0325,1.0325,0.0,PASS
2024_035,2024,Dutch Grand Prix,VER,2,46,+5,0.9011,1.044,1.044,0.0,PASS
2024_035,2024,Dutch Grand Prix,VER,2,46,+10,0.9011,1.2106,1.2106,0.0,PASS
2024_036,2024,Japanese Grand Prix,MAG,2,22,+1,3.5134,NaN,NaN,0.0,PASS
2024_036,2024,Japanese Grand Prix,MAG,2,22,+3,3.5134,NaN,NaN,0.0,PASS
2024_036,2024,Japanese Grand Prix,MAG,2,22,+5,3.5134,NaN,NaN,0.0,PASS
2024_036,2024,Japanese Grand Prix,MAG,2,22,+10,3.5134,NaN,NaN,0.0,PASS
2024_037,2024,Hungarian Grand Prix,HAM,2,22,+1,0.0144,0.2654,0.2654,0.0,PASS
2024_037,2024,Hungarian Grand Prix,HAM,2,22,+3,0.0144,0.3909,0.3909,0.0,PASS
2024_037,2024,Hungarian Grand Prix,HAM,2,22,+5,0.0144,0.3909,0.3909,0.0,PASS
2024_037,2024,Hungarian Grand Prix,HAM,2,22,+10,0.0144,0.6244,0.6244,0.0,PASS
2024_038,2024,Belgian Grand Prix,MAG,2,34,+1,1.1788,1.1788,1.1788,0.0,PASS
2024_038,2024,Belgian Grand Prix,MAG,2,34,+3,1.1788,1.1788,1.1788,0.0,PASS
2024_038,2024,Belgian Grand Prix,MAG,2,34,+5,1.1788,1.1788,1.1788,0.0,PASS
2024_038,2024,Belgian Grand Prix,MAG,2,34,+10,1.1788,1.729,1.729,0.0,PASS
2024_039,2024,Spanish Grand Prix,PIA,2,45,+1,1.619,5.0885,5.0885,0.0,PASS
2024_039,2024,Spanish Grand Prix,PIA,2,45,+3,1.619,NaN,NaN,0.0,PASS
2024_039,2024,Spanish Grand Prix,PIA,2,45,+5,1.619,NaN,NaN,0.0,PASS
2024_039,2024,Spanish Grand Prix,PIA,2,45,+10,1.619,NaN,NaN,0.0,PASS
2024_040,2024,Hungarian Grand Prix,BOT,3,68,+1,3.6419,5.2944,5.2944,0.0,PASS
2024_040,2024,Hungarian Grand Prix,BOT,3,68,+3,3.6419,NaN,NaN,0.0,PASS
2024_040,2024,Hungarian Grand Prix,BOT,3,68,+5,3.6419,NaN,NaN,0.0,PASS
2024_040,2024,Hungarian Grand Prix,BOT,3,68,+10,3.6419,NaN,NaN,0.0,PASS
2024_041,2024,Qatar Grand Prix,RUS,5,48,+1,0.0,0.0,0.0,0.0,PASS
2024_041,2024,Qatar Grand Prix,RUS,5,48,+3,0.0,0.0,0.0,0.0,PASS
2024_041,2024,Qatar Grand Prix,RUS,5,48,+5,0.0,0.0,0.0,0.0,PASS
2024_041,2024,Qatar Grand Prix,RUS,5,48,+10,0.0,NaN,NaN,0.0,PASS
2024_042,2024,Qatar Grand Prix,ALB,1,12,+1,0.5972,0.5972,0.5972,0.0,PASS
2024_042,2024,Qatar Grand Prix,ALB,1,12,+3,0.5972,0.5972,0.5972,0.0,PASS
2024_042,2024,Qatar Grand Prix,ALB,1,12,+5,0.5972,0.5972,0.5972,0.0,PASS
2024_042,2024,Qatar Grand Prix,ALB,1,12,+10,0.5972,0.5972,0.5972,0.0,PASS
2024_043,2024,United States Grand Prix,GAS,1,12,+1,0.0696,0.0696,0.0696,0.0,PASS
2024_043,2024,United States Grand Prix,GAS,1,12,+3,0.0696,0.5251,0.5251,0.0,PASS
2024_043,2024,United States Grand Prix,GAS,1,12,+5,0.0696,1.2919,1.2919,0.0,PASS
2024_043,2024,United States Grand Prix,GAS,1,12,+10,0.0696,NaN,NaN,0.0,PASS
2024_044,2024,Spanish Grand Prix,MAG,1,3,+1,0.0,0.0,0.0,0.0,PASS
2024_044,2024,Spanish Grand Prix,MAG,1,3,+3,0.0,0.6454,0.6454,0.0,PASS
2024_044,2024,Spanish Grand Prix,MAG,1,3,+5,0.0,0.6454,0.6454,0.0,PASS
2024_044,2024,Spanish Grand Prix,MAG,1,3,+10,0.0,NaN,NaN,0.0,PASS
2024_045,2024,Azerbaijan Grand Prix,PER,2,17,+1,1.4117,2.075,2.075,0.0,PASS
2024_045,2024,Azerbaijan Grand Prix,PER,2,17,+3,1.4117,2.075,2.075,0.0,PASS
2024_045,2024,Azerbaijan Grand Prix,PER,2,17,+5,1.4117,2.075,2.075,0.0,PASS
2024_045,2024,Azerbaijan Grand Prix,PER,2,17,+10,1.4117,2.075,2.075,0.0,PASS
2024_046,2024,Singapore Grand Prix,STR,2,61,+1,2.6479,NaN,NaN,0.0,PASS
2024_046,2024,Singapore Grand Prix,STR,2,61,+3,2.6479,NaN,NaN,0.0,PASS
2024_046,2024,Singapore Grand Prix,STR,2,61,+5,2.6479,NaN,NaN,0.0,PASS
2024_046,2024,Singapore Grand Prix,STR,2,61,+10,2.6479,NaN,NaN,0.0,PASS
2024_047,2024,Austrian Grand Prix,LEC,2,15,+1,2.4604,5.11,5.11,0.0,PASS
2024_047,2024,Austrian Grand Prix,LEC,2,15,+3,2.4604,NaN,NaN,0.0,PASS
2024_047,2024,Austrian Grand Prix,LEC,2,15,+5,2.4604,NaN,NaN,0.0,PASS
2024_047,2024,Austrian Grand Prix,LEC,2,15,+10,2.4604,NaN,NaN,0.0,PASS
2024_048,2024,Singapore Grand Prix,RIC,3,47,+1,0.0,0.0,0.0,0.0,PASS
2024_048,2024,Singapore Grand Prix,RIC,3,47,+3,0.0,0.0573,0.0573,0.0,PASS
2024_048,2024,Singapore Grand Prix,RIC,3,47,+5,0.0,0.1619,0.1619,0.0,PASS
2024_048,2024,Singapore Grand Prix,RIC,3,47,+10,0.0,3.3757,3.3757,0.0,PASS
2024_049,2024,Dutch Grand Prix,HAM,2,42,+1,0.4025,0.4025,0.4025,0.0,PASS
2024_049,2024,Dutch Grand Prix,HAM,2,42,+3,0.4025,0.9059,0.9059,0.0,PASS
2024_049,2024,Dutch Grand Prix,HAM,2,42,+5,0.4025,0.9059,0.9059,0.0,PASS
2024_049,2024,Dutch Grand Prix,HAM,2,42,+10,0.4025,NaN,NaN,0.0,PASS
2024_050,2024,Dutch Grand Prix,PIA,1,22,+1,1.1995,1.1995,1.1995,0.0,PASS
2024_050,2024,Dutch Grand Prix,PIA,1,22,+3,1.1995,1.2467,1.2467,0.0,PASS
2024_050,2024,Dutch Grand Prix,PIA,1,22,+5,1.1995,1.2467,1.2467,0.0,PASS
2024_050,2024,Dutch Grand Prix,PIA,1,22,+10,1.1995,1.3676,1.3676,0.0,PASS
2024_051,2024,Spanish Grand Prix,PIA,1,19,+1,1.7289,1.7289,1.7289,0.0,PASS
2024_051,2024,Spanish Grand Prix,PIA,1,19,+3,1.7289,NaN,NaN,0.0,PASS
2024_051,2024,Spanish Grand Prix,PIA,1,19,+5,1.7289,NaN,NaN,0.0,PASS
2024_051,2024,Spanish Grand Prix,PIA,1,19,+10,1.7289,NaN,NaN,0.0,PASS
2024_052,2024,Saudi Arabian Grand Prix,ALO,1,2,+1,0.0,0.0,0.0,0.0,PASS
2024_052,2024,Saudi Arabian Grand Prix,ALO,1,2,+3,0.0,0.0063,0.0063,0.0,PASS
2024_052,2024,Saudi Arabian Grand Prix,ALO,1,2,+5,0.0,NaN,NaN,0.0,PASS
2024_052,2024,Saudi Arabian Grand Prix,ALO,1,2,+10,0.0,NaN,NaN,0.0,PASS
2024_053,2024,Las Vegas Grand Prix,TSU,2,20,+1,2.4546,2.4546,2.4546,0.0,PASS
2024_053,2024,Las Vegas Grand Prix,TSU,2,20,+3,2.4546,2.4546,2.4546,0.0,PASS
2024_053,2024,Las Vegas Grand Prix,TSU,2,20,+5,2.4546,2.4546,2.4546,0.0,PASS
2024_053,2024,Las Vegas Grand Prix,TSU,2,20,+10,2.4546,NaN,NaN,0.0,PASS
2024_054,2024,Chinese Grand Prix,TSU,2,11,+1,0.0,0.4029,0.4029,0.0,PASS
2024_054,2024,Chinese Grand Prix,TSU,2,11,+3,0.0,1.6918,1.6918,0.0,PASS
2024_054,2024,Chinese Grand Prix,TSU,2,11,+5,0.0,1.6918,1.6918,0.0,PASS
2024_054,2024,Chinese Grand Prix,TSU,2,11,+10,0.0,NaN,NaN,0.0,PASS
2024_055,2024,Monaco Grand Prix,PIA,2,35,+1,0.0,0.0,0.0,0.0,PASS
2024_055,2024,Monaco Grand Prix,PIA,2,35,+3,0.0,0.0,0.0,0.0,PASS
2024_055,2024,Monaco Grand Prix,PIA,2,35,+5,0.0,0.0,0.0,0.0,PASS
2024_055,2024,Monaco Grand Prix,PIA,2,35,+10,0.0,0.0,0.0,0.0,PASS
2024_056,2024,Italian Grand Prix,COL,1,12,+1,0.7801,0.7801,0.7801,0.0,PASS
2024_056,2024,Italian Grand Prix,COL,1,12,+3,0.7801,0.9638,0.9638,0.0,PASS
2024_056,2024,Italian Grand Prix,COL,1,12,+5,0.7801,NaN,NaN,0.0,PASS
2024_056,2024,Italian Grand Prix,COL,1,12,+10,0.7801,NaN,NaN,0.0,PASS
2024_057,2024,Hungarian Grand Prix,PER,1,9,+1,0.1554,0.1554,0.1554,0.0,PASS
2024_057,2024,Hungarian Grand Prix,PER,1,9,+3,0.1554,0.1554,0.1554,0.0,PASS
2024_057,2024,Hungarian Grand Prix,PER,1,9,+5,0.1554,0.1554,0.1554,0.0,PASS
2024_057,2024,Hungarian Grand Prix,PER,1,9,+10,0.1554,0.1554,0.1554,0.0,PASS
2024_058,2024,Italian Grand Prix,HUL,2,29,+1,1.2383,1.3617,1.3617,0.0,PASS
2024_058,2024,Italian Grand Prix,HUL,2,29,+3,1.2383,5.7675,5.7675,0.0,PASS
2024_058,2024,Italian Grand Prix,HUL,2,29,+5,1.2383,NaN,NaN,0.0,PASS
2024_058,2024,Italian Grand Prix,HUL,2,29,+10,1.2383,NaN,NaN,0.0,PASS
2024_059,2024,Austrian Grand Prix,SAR,3,26,+1,2.2562,2.2562,2.2562,0.0,PASS
2024_059,2024,Austrian Grand Prix,SAR,3,26,+3,2.2562,2.2562,2.2562,0.0,PASS
2024_059,2024,Austrian Grand Prix,SAR,3,26,+5,2.2562,2.2562,2.2562,0.0,PASS
2024_059,2024,Austrian Grand Prix,SAR,3,26,+10,2.2562,2.6882,2.6882,0.0,PASS
2024_060,2024,United States Grand Prix,ALB,2,26,+1,0.9567,2.2056,2.2056,0.0,PASS
2024_060,2024,United States Grand Prix,ALB,2,26,+3,0.9567,2.2056,2.2056,0.0,PASS
2024_060,2024,United States Grand Prix,ALB,2,26,+5,0.9567,2.2056,2.2056,0.0,PASS
2024_060,2024,United States Grand Prix,ALB,2,26,+10,0.9567,NaN,NaN,0.0,PASS
2024_061,2024,Singapore Grand Prix,RIC,2,29,+1,2.1643,2.1643,2.1643,0.0,PASS
2024_061,2024,Singapore Grand Prix,RIC,2,29,+3,2.1643,3.2629,3.2629,0.0,PASS
2024_061,2024,Singapore Grand Prix,RIC,2,29,+5,2.1643,3.2629,3.2629,0.0,PASS
2024_061,2024,Singapore Grand Prix,RIC,2,29,+10,2.1643,3.2629,3.2629,0.0,PASS
2024_062,2024,Spanish Grand Prix,VER,3,48,+1,0.2354,0.2354,0.2354,0.0,PASS
2024_062,2024,Spanish Grand Prix,VER,3,48,+3,0.2354,0.2354,0.2354,0.0,PASS
2024_062,2024,Spanish Grand Prix,VER,3,48,+5,0.2354,0.2354,0.2354,0.0,PASS
2024_062,2024,Spanish Grand Prix,VER,3,48,+10,0.2354,0.5934,0.5934,0.0,PASS
2024_063,2024,Hungarian Grand Prix,ALO,2,18,+1,0.694,0.694,0.694,0.0,PASS
2024_063,2024,Hungarian Grand Prix,ALO,2,18,+3,0.694,0.694,0.694,0.0,PASS
2024_063,2024,Hungarian Grand Prix,ALO,2,18,+5,0.694,1.253,1.253,0.0,PASS
2024_063,2024,Hungarian Grand Prix,ALO,2,18,+10,0.694,1.8445,1.8445,0.0,PASS
2024_064,2024,Chinese Grand Prix,HAM,3,34,+1,0.0,0.0,0.0,0.0,PASS
2024_064,2024,Chinese Grand Prix,HAM,3,34,+3,0.0,0.264,0.264,0.0,PASS
2024_064,2024,Chinese Grand Prix,HAM,3,34,+5,0.0,0.2736,0.2736,0.0,PASS
2024_064,2024,Chinese Grand Prix,HAM,3,34,+10,0.0,0.7225,0.7225,0.0,PASS
2024_065,2024,British Grand Prix,SAI,1,13,+1,0.4965,0.4965,0.4965,0.0,PASS
2024_065,2024,British Grand Prix,SAI,1,13,+3,0.4965,0.8493,0.8493,0.0,PASS
2024_065,2024,British Grand Prix,SAI,1,13,+5,0.4965,2.8375,2.8375,0.0,PASS
2024_065,2024,British Grand Prix,SAI,1,13,+10,0.4965,9.1042,9.1042,0.0,PASS
2024_066,2024,Japanese Grand Prix,BOT,3,17,+1,3.8929,3.8929,3.8929,0.0,PASS
2024_066,2024,Japanese Grand Prix,BOT,3,17,+3,3.8929,3.8929,3.8929,0.0,PASS
2024_066,2024,Japanese Grand Prix,BOT,3,17,+5,3.8929,6.1667,6.1667,0.0,PASS
2024_066,2024,Japanese Grand Prix,BOT,3,17,+10,3.8929,NaN,NaN,0.0,PASS
2024_067,2024,Miami Grand Prix,RUS,1,12,+1,0.8263,0.8263,0.8263,0.0,PASS
2024_067,2024,Miami Grand Prix,RUS,1,12,+3,0.8263,0.8263,0.8263,0.0,PASS
2024_067,2024,Miami Grand Prix,RUS,1,12,+5,0.8263,0.8263,0.8263,0.0,PASS
